dataSplit,label,Single_cells...Intensity.Spot.Fluorescein..FITC..Mean_mean,Single_cells...Intensity.Spot.DAPI.Mean_mean,Single_cells...FITC_dead.Profile.2.2_mean,Single_cells...Bacteria_CSA.Profile.2.2_mean,Single_cells...FITC_dead.Radial.Relative.Deviation_mean,Single_cells...Intensity.Spot.DAPI.StdDev_mean,Single_cells...FITC_dead.Profile.1.2_mean,Single_cells...Bacteria_CSA.Profile.1.2_mean,Single_cells...FITC_dead.Symmetry.15_mean,Single_cells...FITC_dead.Threshold.Compactness.50._mean,Single_cells...FITC_dead.Radial.Mean_mean,Single_cells...Bacteria_CSA.Symmetry.05_mean,Single_cells...FITC_dead.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.02_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.14_mean,Single_cells...Bacteria.DAPI.Symmetry.02_mean,Single_cells...FITC_dead.Symmetry.04_mean,Single_cells...FITC_dead.Symmetry.05_mean,Single_cells...Bacteria_CSA.Symmetry.03_mean,Single_cells...FITC_dead.Threshold.Compactness.40._mean,Single_cells...FITC_dead.Symmetry.12_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.50._mean,Single_cells...Bacteria_CSA.Symmetry.15_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.60._mean,Single_cells...Bacteria.DAPI.Symmetry.04_mean,Single_cells...Bacteria_CSA.Symmetry.13_mean,Single_cells...Spot.Roundness_mean,Single_cells...Bacteria_CSA.Symmetry.14_mean,Single_cells...Intensity.Spot.Fluorescein..FITC..StdDev_mean,Single_cells...bacteria.Ratio.Width.to.Length_mean,Single_cells...bacteria.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.05_mean,Single_cells...Bacteria.DAPI.Symmetry.15_mean,Single_cells...bacteria.Width..µm._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.30._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.50._mean,Single_cells...Bacteria.DAPI.Profile.2.2_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.30._mean,Single_cells...Bacteria_CSA.Axial.Length.Ratio_mean,Single_cells...FITC_dead.Axial.Small.Length_mean,Single_cells...FITC_dead.Axial.Length.Ratio_mean,Single_cells...bacteria.Roundness_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.40._mean,Single_cells...Bacteria_CSA.Symmetry.04_mean,Single_cells...Spot.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.40._mean,Single_cells...Bacteria.DAPI.Axial.Small.Length_mean,Single_cells...Bacteria.DAPI.Radial.Mean_mean,Single_cells...Bacteria.DAPI.Radial.Relative.Deviation_mean,Single_cells...Bacteria.DAPI.Profile.1.2_mean,Single_cells...Bacteria_CSA.Symmetry.02_mean,Single_cells...Bacteria_CSA.Symmetry.12_mean,Single_cells...Bacteria_CSA.Radial.Mean_mean,Single_cells...Bacteria_CSA.Radial.Relative.Deviation_mean,Single_cells...FITC_dead.Symmetry.03_mean,Single_cells...FITC_dead.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Axial.Length.Ratio_mean,Single_cells...Bacteria.DAPI.Symmetry.14_mean,Single_cells...bacteria.Length..µm._mean,Single_cells...Bacteria.DAPI.Symmetry.03_mean,Single_cells...Bacteria.DAPI.Symmetry.12_mean,Single_cells...Bacteria_CSA.Axial.Small.Length_mean,Single_cells...FITC_dead.Threshold.Compactness.30._mean
validation,Susceptible,238.1646162,304.2111681,1.074038891,1.218064358,0.419597983,107.0227993,0.983551415,0.950694768,0.02472307,1.08426339,6.366389144,0.017714576,1.077233233,0.281139708,1.051785432,0.10838531,0.29453486,0.059585439,0.017816027,0.021434833,1.085446218,0.398976709,1.075601319,0.024458382,1.06847627,0.069258849,0.032477862,0.926512827,0.123970016,94.10369702,0.530527549,2.330163129,0.020234692,0.024838817,1.138606551,1.07675195,1.059677898,1.295092666,1.08310119,0.560364057,4.810791011,0.578022474,0.926512827,1.078734884,0.070105119,2.330163129,0.031391037,1.068550462,4.479776446,5.904152846,0.453614932,0.934231977,0.302273723,0.422846561,6.105152325,0.431300692,0.022489163,0.031653429,0.572550712,0.117600641,2.187046381,0.025071393,0.409769712,4.51620275,1.086225649
validation,Susceptible,213.2105158,306.0804269,1.063396527,1.231650748,0.417520742,107.2921761,0.985934162,0.948250675,0.024974951,1.086523523,6.373685493,0.017868609,1.080948316,0.279616014,1.051571844,0.107510569,0.295306323,0.059280846,0.017603177,0.021686038,1.087670541,0.397187046,1.078630856,0.024964003,1.073604279,0.070408008,0.033030813,0.927709652,0.123201852,82.82974161,0.532244261,2.319740747,0.020410571,0.025385847,1.134278576,1.078831389,1.061425507,1.295126413,1.084693739,0.562492805,4.811814372,0.579535227,0.927709652,1.081401171,0.06939344,2.319740747,0.031039473,1.068497903,4.461490966,5.90179812,0.452948934,0.93457878,0.299486547,0.419888548,6.056003503,0.433401068,0.022703244,0.032015884,0.572940965,0.118602965,2.181794778,0.025069079,0.409797345,4.485082582,1.088056067
validation,Susceptible,223.1595723,323.2522704,1.070306533,1.219074639,0.417423842,119.5032947,0.984700355,0.951635293,0.024257997,1.086618276,6.315059512,0.016873006,1.078328319,0.28105804,1.056611172,0.105810893,0.296531523,0.058528177,0.017461412,0.020819046,1.088628065,0.397975237,1.079818359,0.023550481,1.072246695,0.070464558,0.031645775,0.929457688,0.120941716,88.79289183,0.533786408,2.27287539,0.019879102,0.023511868,1.126314588,1.080927595,1.063985621,1.316677905,1.086638668,0.562714299,4.768064954,0.579702226,0.929457688,1.082958475,0.067769848,2.27287539,0.029448313,1.072761769,4.397609966,5.805912566,0.455146562,0.930842791,0.298945946,0.419730913,6.027419219,0.429307522,0.022135055,0.031046739,0.57349513,0.117503939,2.156910677,0.023640183,0.410014566,4.45790376,1.089138315
test,Susceptible,142.255284,220.4277661,1.030199983,1.225118747,0.420248568,58.27546356,0.993350953,0.949853838,0.030674219,1.066208057,6.742148795,0.020256372,1.066270298,0.309484771,1.016865432,0.134436381,0.317417221,0.075355528,0.020760607,0.024503526,1.06579956,0.435192342,1.056853902,0.030037364,1.043131407,0.083024026,0.037544324,0.908775871,0.155242981,23.95914556,0.502188266,2.441106372,0.022689524,0.030374301,1.124298621,1.06197474,1.032801859,1.201714785,1.064710249,0.530087916,4.840415155,0.547277107,0.908775871,1.060883889,0.091831668,2.441106372,0.036081466,1.047866284,4.585018878,6.359980764,0.447840135,0.954889116,0.333912332,0.459705517,6.362503115,0.440041495,0.025782084,0.036649449,0.54547416,0.140921415,2.311740239,0.027423599,0.440180792,4.470000442,1.065456128
test,Susceptible,145.3100571,234.783081,1.032446571,1.210397314,0.421941029,67.98429605,0.99311277,0.955486693,0.031816186,1.060107656,6.680284143,0.020735772,1.058924869,0.314528003,1.021144846,0.139906004,0.32363873,0.080025265,0.02111305,0.024832275,1.060236588,0.44018046,1.050912637,0.03144798,1.038685218,0.088359127,0.03608316,0.902772692,0.160716496,23.1108724,0.497283545,2.352154257,0.02318659,0.03151462,1.097496768,1.057199786,1.033169567,1.227425688,1.059306869,0.525372065,4.744576095,0.543750344,0.902772692,1.055539304,0.09509814,2.352154257,0.034066619,1.044567311,4.45995839,6.247863029,0.453416885,0.951170322,0.338536362,0.46547962,6.333616257,0.437845294,0.025070949,0.034869251,0.541810494,0.14679632,2.293416267,0.026135045,0.445598483,4.388913038,1.060532218
test,Susceptible,139.2140022,231.341591,1.028261413,1.237779562,0.416751658,64.23186073,0.993473825,0.94561891,0.028550959,1.073336356,6.722091562,0.018967348,1.072057722,0.298709861,1.020435857,0.121341366,0.308081745,0.066699454,0.019335843,0.022814048,1.073605934,0.422308091,1.062828309,0.028216122,1.052518049,0.074947407,0.035733399,0.916946054,0.142535715,19.20832129,0.512576771,2.462620067,0.021450728,0.028859233,1.142501499,1.069169779,1.040034647,1.216332494,1.07277731,0.539601898,4.915488045,0.558111718,0.916946054,1.068115987,0.082849688,2.462620067,0.035841992,1.053681104,4.63265218,6.299693944,0.447271175,0.95108176,0.324440089,0.448659096,6.29966373,0.438660918,0.024631201,0.035115235,0.555438146,0.128990135,2.288071236,0.027294729,0.428546502,4.514401124,1.073930349
test,Susceptible,148.8446066,252.4437017,1.036594323,1.217544585,0.416390527,78.82475661,0.992037388,0.952593871,0.025082459,1.077606206,6.518635776,0.017451613,1.074828967,0.301016533,1.035800502,0.117022027,0.311614841,0.063701746,0.017882558,0.021661506,1.077285695,0.424215427,1.065675045,0.024789236,1.054831376,0.073134803,0.032680563,0.920272732,0.138694121,21.93400237,0.512462842,2.31562986,0.019716497,0.024504215,1.107709011,1.072466854,1.047396784,1.256502442,1.076993579,0.537677673,4.780588929,0.557454007,0.920272732,1.071837146,0.078993563,2.31562986,0.031372784,1.059328024,4.455960531,6.026912202,0.451943747,0.94479661,0.325765513,0.451152584,6.150087427,0.43197948,0.023342749,0.032322347,0.55511662,0.12522772,2.206001391,0.025188455,0.430650896,4.404298078,1.077534006
validation,Susceptible,150.9384657,255.7429659,1.029637364,1.213399635,0.415429496,76.1411261,0.992776905,0.948795963,0.033803124,1.067269438,6.852505884,0.021177652,1.065831959,0.29492645,1.008449053,0.121030405,0.305596413,0.067875554,0.022665552,0.026147913,1.068010875,0.416306354,1.061762752,0.03172772,1.051416668,0.076719285,0.039639468,0.912644461,0.134042391,23.90036106,0.515562744,2.565184141,0.023845889,0.0336881,1.169795869,1.060805089,1.024404683,1.227668608,1.067337032,0.550796967,5.050295026,0.564052829,0.912644461,1.064725045,0.076472988,2.565184141,0.040517349,1.043575034,4.733977916,6.398741514,0.447938425,0.946391751,0.311919629,0.434452224,6.440019107,0.435378797,0.028579822,0.040249323,0.560341924,0.129801807,2.332394386,0.029706898,0.423820436,4.684051185,1.066733835
validation,Susceptible,180.4472573,269.9982702,1.037931161,1.19546239,0.416162655,85.03773898,0.990691711,0.953758949,0.030608619,1.068746804,6.771859096,0.020227947,1.067635107,0.291947044,1.021692024,0.118143185,0.303340918,0.066405991,0.020540151,0.0266336,1.069978697,0.411924111,1.060854883,0.030229472,1.044358768,0.074985906,0.038619086,0.914118299,0.132628271,37.86482273,0.519376542,2.520533072,0.022213519,0.030253585,1.161227303,1.062968956,1.03396748,1.246867473,1.069315208,0.552917249,5.012568085,0.568113679,0.914118299,1.065801842,0.076073265,2.520533072,0.037512084,1.047270316,4.685853833,6.305738387,0.450350494,0.942774791,0.310597983,0.432430353,6.429339763,0.429443303,0.026466198,0.03735465,0.56407894,0.126191477,2.304177743,0.028116953,0.420068478,4.674777163,1.070465234
validation,Susceptible,146.4300863,224.4904094,1.03022604,1.233155818,0.415101294,62.28326772,0.992944932,0.945442604,0.025111696,1.083169214,6.642907284,0.017531212,1.082477273,0.288600324,1.029909628,0.113232469,0.294583171,0.06136931,0.017112811,0.022253364,1.083333593,0.410564289,1.072463709,0.024800441,1.06308777,0.066156967,0.033970314,0.925484119,0.133173703,25.51093589,0.523316522,2.440729728,0.019332612,0.024773912,1.156660011,1.078641982,1.048591642,1.214189028,1.080851978,0.549529693,4.952215499,0.567560291,0.925484119,1.076079599,0.076227427,2.440729728,0.032678031,1.066918931,4.685365602,6.223143196,0.445537603,0.950668858,0.313740467,0.436475247,6.239178243,0.435016615,0.023328297,0.032925082,0.568132142,0.11627541,2.252043801,0.025657397,0.412775587,4.555601475,1.083385954
validation,Susceptible,150.7110331,243.4057041,1.035985458,1.203669256,0.414527069,77.28578802,0.991800246,0.954413055,0.024095552,1.084365374,6.514988826,0.016932425,1.084023215,0.290370203,1.044254258,0.109216196,0.298620843,0.058948629,0.016887223,0.021636433,1.084641709,0.411124699,1.074488506,0.023896304,1.056435228,0.066752056,0.031912231,0.926974063,0.130457076,25.18300392,0.523445236,2.331303322,0.018493673,0.022742799,1.128966959,1.078981734,1.052143076,1.260608678,1.083426286,0.548802912,4.846263091,0.56806703,0.926974063,1.077500812,0.07353201,2.331303322,0.029489173,1.062739742,4.523388595,6.012434479,0.452026233,0.942140122,0.313988336,0.437352888,6.180904364,0.426635511,0.021854107,0.030731432,0.567881929,0.115142409,2.201243884,0.023512249,0.414867367,4.482724314,1.084788026
test,Susceptible,148.7176497,224.5003726,1.024659061,1.203026431,0.423157341,53.75190294,0.994756281,0.955554173,0.030195723,1.053975167,6.799129908,0.019969025,1.053004104,0.330931179,0.995986896,0.150980044,0.334393302,0.085484003,0.020294034,0.022728742,1.053703783,0.461256127,1.045015662,0.03037626,1.033409777,0.090558243,0.03567566,0.898400317,0.174400435,17.07463092,0.484023013,2.404149676,0.021456988,0.029911978,1.093467468,1.051455236,1.019926464,1.182013095,1.054548268,0.509211157,4.736534119,0.526407376,0.898400317,1.0506615,0.103856728,2.404149676,0.034692048,1.041763249,4.506428569,6.409248221,0.450950718,0.961515049,0.356250811,0.486095288,6.4546248,0.441106575,0.0246365,0.034613518,0.526815765,0.154173102,2.328915947,0.026636301,0.462181746,4.385899158,1.054416403
test,Susceptible,162.5197237,239.8636048,1.032305453,1.174416565,0.425746959,65.95932463,0.993421541,0.963269156,0.027637694,1.055040795,6.730370686,0.019116931,1.05335441,0.338439082,1.008620905,0.153705891,0.343557911,0.087518049,0.019115887,0.021563758,1.055571209,0.469699212,1.04420038,0.027872048,1.027948432,0.094792811,0.032307842,0.898402129,0.180442215,23.77474824,0.477750929,2.348619324,0.020825125,0.026975429,1.067561005,1.052769842,1.023248037,1.222131374,1.054987245,0.499483364,4.637147776,0.519950199,0.898402129,1.051522902,0.107333662,2.348619324,0.030804489,1.038377358,4.370013788,6.281113635,0.4578838,0.954730803,0.366439463,0.49847548,6.490834367,0.433701914,0.02247419,0.030961934,0.520554053,0.15898743,2.312013117,0.024539008,0.471164949,4.31765272,1.055488586
test,Susceptible,151.1885362,216.8869642,1.035853255,1.218788253,0.425007194,55.52832013,0.992040916,0.951321261,0.0282209,1.05523425,6.864911209,0.019390623,1.054383916,0.331930952,1.005921329,0.151041106,0.334478298,0.085622271,0.019093439,0.021684073,1.057060625,0.462450329,1.045760865,0.028710813,1.030902975,0.090711006,0.03361747,0.902637286,0.176566812,22.43402791,0.484518745,2.469172204,0.020672309,0.027811317,1.106935568,1.056221443,1.026932389,1.196544173,1.057973964,0.506270094,4.772528393,0.525401808,0.902637286,1.052421401,0.105797929,2.469172204,0.032217765,1.044181544,4.535621074,6.456817128,0.453588687,0.95674691,0.359451272,0.489849076,6.518017263,0.442722137,0.023490414,0.032823986,0.526622166,0.154372826,2.36260253,0.025183922,0.462447704,4.401886388,1.057698897
test,Susceptible,157.3840987,235.2473523,1.040538661,1.190986371,0.4260933,67.78767263,0.990859165,0.958510714,0.026384508,1.056251335,6.809085916,0.01860536,1.054172438,0.333924643,1.016077618,0.149184777,0.339466906,0.084084532,0.018326682,0.020854749,1.057396195,0.464813286,1.044676076,0.027146729,1.026361974,0.092053623,0.031024292,0.902446139,0.177276807,24.23509068,0.481346017,2.445847592,0.020579068,0.026185774,1.091998464,1.055227536,1.026963653,1.232974014,1.058197798,0.501485584,4.726504574,0.523616636,0.902446139,1.052646858,0.104979867,2.445847592,0.028878124,1.039610256,4.445760554,6.343031335,0.459009418,0.949678919,0.363068171,0.495607732,6.546546222,0.4352863,0.021559823,0.029838957,0.523839558,0.154808403,2.348554716,0.023831791,0.467028366,4.379528494,1.058349509
validation,Susceptible,140.7263057,229.3719772,1.031318548,1.208806209,0.417177672,59.1539215,0.992457144,0.949466031,0.031115358,1.064911743,6.903661563,0.0198671,1.063281046,0.304603722,0.993988796,0.129157335,0.311906504,0.072481511,0.021021685,0.025170649,1.064955225,0.428686134,1.060506896,0.030318274,1.05097285,0.078975192,0.038495181,0.912485267,0.144298047,17.16562361,0.508899296,2.570629105,0.023094749,0.033076325,1.166364782,1.06261493,1.020301459,1.182603517,1.066982885,0.54002884,5.006467804,0.553313432,0.912485267,1.064874539,0.083654903,2.570629105,0.040066988,1.046002073,4.757274797,6.534541394,0.444777305,0.956625761,0.323156254,0.447487951,6.521452365,0.436133541,0.026919718,0.037844162,0.550432345,0.135366096,2.355035059,0.029510654,0.434052906,4.652095338,1.066392155
validation,Susceptible,153.6707155,244.9417544,1.040593981,1.177429356,0.418339705,69.81667185,0.990706491,0.958789101,0.028222691,1.067011968,6.721150007,0.018921292,1.065513181,0.305829611,1.012963335,0.124692132,0.313838984,0.069125661,0.019188849,0.023320747,1.068510368,0.429648047,1.061364137,0.027928688,1.042886244,0.076509218,0.035081693,0.91376787,0.142081927,23.17266025,0.507938836,2.449231713,0.021167662,0.02904595,1.136888685,1.064774511,1.029148042,1.216511604,1.069122368,0.536682727,4.885457665,0.552958681,0.91376787,1.065528353,0.081025551,2.449231713,0.035676094,1.047295398,4.611082194,6.305161691,0.449268827,0.950835529,0.325714374,0.451764782,6.436074154,0.428302995,0.024425916,0.034348405,0.55080689,0.131105677,2.293200764,0.02711323,0.434765255,4.573147686,1.068286362
validation,Susceptible,150.0728262,268.6749141,1.030458073,1.180631493,0.414821551,84.41070102,0.993214613,0.95884266,0.024674777,1.073374008,6.628727339,0.017128117,1.072669787,0.300745309,1.028411327,0.118149575,0.309096133,0.064414169,0.017122109,0.021103427,1.073610578,0.423808761,1.066781574,0.024315432,1.050524736,0.073135594,0.031253675,0.919883684,0.138547829,17.02278945,0.51489608,2.373252875,0.019991269,0.025701609,1.128290758,1.068120762,1.040187759,1.246508576,1.076063253,0.539384692,4.852452562,0.55785221,0.919883684,1.073726661,0.07912508,2.373252875,0.031690093,1.050585434,4.519685823,6.107678666,0.452905539,0.945067339,0.323806128,0.449047424,6.317502798,0.425488269,0.021796073,0.030473727,0.556693362,0.125324788,2.239596853,0.025085539,0.428173574,4.509953481,1.075806898
validation,Susceptible,146.7243535,253.9311533,1.024305926,1.207650281,0.415452717,73.89303652,0.994356724,0.951854787,0.028012445,1.068755153,6.754188707,0.018389543,1.068239652,0.303646975,1.019088931,0.125013192,0.310161394,0.069338354,0.019222967,0.022792539,1.071194354,0.42775616,1.063860518,0.027140291,1.052250666,0.077659017,0.034593074,0.916218437,0.144419847,16.05410188,0.51136986,2.44698849,0.021819428,0.029610331,1.140355236,1.065020251,1.029721395,1.211041445,1.071837911,0.537816098,4.905867071,0.554114205,0.916218437,1.070197513,0.084030092,2.44698849,0.036419604,1.04383178,4.608459256,6.288120515,0.449658632,0.95239303,0.326312059,0.450861379,6.36708603,0.43356382,0.024376057,0.034191416,0.552690047,0.132608035,2.289533249,0.028192483,0.431566563,4.532752323,1.071019559
training,Resistant,189.1851037,292.3261844,1.061558875,1.146443957,0.423381242,97.24680184,0.988096806,0.970554804,0.026239961,1.074985223,6.158954154,0.01923092,1.073932085,0.300193961,1.053610001,0.118189462,0.310366191,0.064969997,0.018499381,0.024001545,1.074853672,0.422849992,1.05984231,0.027667113,1.032602024,0.073693174,0.034873734,0.91102521,0.142054643,57.57898166,0.507807006,2.10901342,0.020308667,0.024511942,1.051831677,1.070246353,1.056443747,1.286977554,1.070240079,0.534592002,4.533556674,0.558016929,0.91102521,1.067264007,0.082035983,2.10901342,0.029902732,1.061357943,4.234536795,5.715159894,0.45574549,0.94414972,0.331354327,0.456031388,6.070877332,0.421314704,0.023030931,0.03228562,0.556442814,0.125108382,2.115450673,0.023747233,0.429067614,4.304820218,1.075009841
training,Resistant,194.8317978,274.6631385,1.056634761,1.175362071,0.423385744,84.66594158,0.989047231,0.964400742,0.027801917,1.072228314,6.22095158,0.02011871,1.071852321,0.298844831,1.043713739,0.122244628,0.30915703,0.067668996,0.019347669,0.024466127,1.072188088,0.42170486,1.058470956,0.029136284,1.044082663,0.075620222,0.036851634,0.907829194,0.144579779,60.10772424,0.507514053,2.145416191,0.021037206,0.026645223,1.06264614,1.065511007,1.049984062,1.258029628,1.066730933,0.536800698,4.576451836,0.55851883,0.907829194,1.064442701,0.084360174,2.145416191,0.032422692,1.059135368,4.306622945,5.828040579,0.452507048,0.948993898,0.329775922,0.453323505,6.067429669,0.428566098,0.024133968,0.034192441,0.556018593,0.128686122,2.140576493,0.025403758,0.428769905,4.32345861,1.072321945
training,Resistant,138.993882,242.7809055,1.032878416,1.153296937,0.418138412,70.35097016,0.993635329,0.969837354,0.026435173,1.069371412,6.261968043,0.018522496,1.068184772,0.308123162,1.037897402,0.122606835,0.314287618,0.067321245,0.018914434,0.022233328,1.069846431,0.433106643,1.058233315,0.026286379,1.035114399,0.074581471,0.032932323,0.909916754,0.145160979,14.72243225,0.502589116,2.105847703,0.019641995,0.024298034,1.046064283,1.068388078,1.044805203,1.243866584,1.069250817,0.529745068,4.549090658,0.549955527,0.909916754,1.066754977,0.083388979,2.105847703,0.029478755,1.059259972,4.266593745,5.807242034,0.451578254,0.952547955,0.335074211,0.46137796,6.058139865,0.424007507,0.023078752,0.031774767,0.55070076,0.127254651,2.123155031,0.023694352,0.435118438,4.272083772,1.070538018
training,Resistant,134.7090043,227.2604436,1.029228069,1.188361434,0.41949529,60.58989537,0.994440399,0.961921759,0.029058857,1.066152454,6.374840382,0.019469578,1.065427399,0.309631673,1.0277444,0.129378275,0.316087667,0.071848854,0.01973823,0.0236112,1.067516323,0.435415995,1.055886465,0.028971562,1.039975657,0.078020683,0.03633103,0.906869094,0.151475193,16.39283208,0.500211233,2.169675015,0.020116479,0.026996235,1.060161722,1.064752731,1.03869392,1.213418181,1.065490965,0.528772479,4.607118138,0.547469608,0.906869094,1.062803666,0.08882779,2.169675015,0.033057178,1.056102711,4.353277643,5.976875322,0.448427293,0.957811988,0.337143844,0.462644157,6.102042039,0.433166456,0.02473273,0.034946993,0.547075257,0.133998855,2.169031985,0.026671225,0.438566392,4.298174044,1.067605801
training,Susceptible,166.9604646,225.1322063,1.061914051,1.218451191,0.425160871,63.48577476,0.986592664,0.950685078,0.027179972,1.069552282,6.952960215,0.018322481,1.067703368,0.305728869,1.0143431,0.128593216,0.318260424,0.073680145,0.017985322,0.02344831,1.070797016,0.428339546,1.057336388,0.027248075,1.048638738,0.082739914,0.034998105,0.913057152,0.146353287,44.70392548,0.508848764,2.574944014,0.020185279,0.027746195,1.13647302,1.06511158,1.034597455,1.220315927,1.068615681,0.536150136,4.864520775,0.553412944,0.913057152,1.062097767,0.085881823,2.574944014,0.033919012,1.055293075,4.629493803,6.620160406,0.448799354,0.95108828,0.326660249,0.451828341,6.624188767,0.43726536,0.023983999,0.033808896,0.549448745,0.136929914,2.417471377,0.026558948,0.437261026,4.531294377,1.070708421
training,Susceptible,159.4649266,211.6075685,1.054812549,1.234004433,0.42255536,55.89799974,0.987836137,0.945505412,0.026137735,1.071001922,6.89703287,0.018423222,1.068891719,0.302682279,1.013977323,0.126096432,0.312694433,0.071423249,0.018061278,0.023349628,1.071087491,0.424913083,1.05971704,0.026401578,1.052827852,0.07953828,0.034994828,0.914465913,0.144223992,41.55817231,0.511553506,2.556261536,0.020442206,0.026886238,1.151812391,1.066129749,1.03726449,1.200528487,1.069389318,0.539344973,4.907189917,0.556244123,0.914465913,1.066065228,0.08442173,2.556261536,0.033340368,1.055244825,4.694370297,6.599403723,0.444404055,0.954277719,0.324841987,0.448478662,6.533961191,0.438813659,0.023882989,0.033232648,0.553278776,0.132885009,2.382658367,0.025992895,0.431773453,4.551423829,1.0721338
training,Susceptible,152.1096191,218.0788649,1.033565498,1.215667085,0.414792736,58.03803804,0.992280135,0.951032259,0.024471403,1.079715603,6.605272389,0.017100444,1.077743094,0.297158663,1.022656374,0.11484384,0.305922759,0.062265088,0.0171099,0.020632433,1.080033185,0.419212006,1.068063992,0.023847615,1.058410959,0.070625487,0.031255296,0.922964982,0.135102895,29.31374569,0.516988973,2.37849033,0.018173105,0.023891977,1.130349167,1.076003216,1.046384856,1.215526444,1.078997859,0.543664102,4.863558594,0.561607253,0.922964982,1.07325758,0.076209851,2.37849033,0.029889479,1.065859197,4.599818935,6.2026231,0.445013515,0.95182604,0.318949822,0.443351118,6.225110831,0.431626617,0.02176747,0.030428053,0.559815062,0.121291748,2.233340363,0.02332144,0.424555158,4.487393244,1.079332465
training,Susceptible,146.1623507,201.4127977,1.028979345,1.241077404,0.414924833,47.11742471,0.993088971,0.942136419,0.025942361,1.079051972,6.787255214,0.018035781,1.076795555,0.295111643,1.015237477,0.116258656,0.303209287,0.062977265,0.017781766,0.022764233,1.078171942,0.417058977,1.068650384,0.025403205,1.059201866,0.069355821,0.0346582,0.922148548,0.135697549,23.61266695,0.518748861,2.519970693,0.018940729,0.025781748,1.167411875,1.073102487,1.04408625,1.176753037,1.076873094,0.545680887,5.010237523,0.562939783,0.922148548,1.073541672,0.078231087,2.519970693,0.034596556,1.065195206,4.783321204,6.453675541,0.439086606,0.958149665,0.319054882,0.441649455,6.339969966,0.437688392,0.024263599,0.034483234,0.560533922,0.121818553,2.29767166,0.026417311,0.422530694,4.593881539,1.078422936
training,Resistant,137.3534062,249.8894802,1.030355272,1.200437738,0.41466623,71.29418379,0.993645777,0.957744046,0.026638889,1.073510692,6.386886513,0.018744974,1.074023859,0.2944479,1.04001015,0.116973734,0.302000428,0.064842554,0.018452506,0.022621863,1.073185493,0.415862095,1.063277203,0.026352943,1.052265429,0.070598578,0.034440789,0.913826012,0.136501991,17.07358523,0.51687146,2.212533118,0.019421424,0.024686017,1.08879418,1.070656023,1.049753405,1.238089588,1.07209311,0.546343027,4.70714024,0.564086011,0.913826012,1.069372937,0.079579369,2.212533118,0.031103677,1.059743533,4.417839048,5.938209517,0.447353225,0.951053344,0.31971315,0.441336188,6.072214951,0.430990908,0.023720797,0.033238619,0.563354316,0.121449658,2.160519303,0.024446155,0.419836356,4.378986951,1.073246851
training,Resistant,142.3637174,282.068376,1.039674411,1.151831516,0.414936517,94.20208369,0.992132145,0.968900916,0.025990687,1.075743362,6.273297607,0.018520895,1.073606948,0.296010412,1.055878211,0.112791267,0.30543902,0.062103006,0.018581547,0.022206234,1.075964217,0.416659558,1.065373762,0.025829734,1.04103099,0.070543239,0.032243752,0.916090452,0.133118057,16.30452248,0.51686034,2.137669574,0.01925929,0.023200242,1.068874919,1.073562437,1.056632356,1.29274319,1.075133264,0.544362155,4.626716996,0.564404017,0.916090452,1.072043008,0.075913902,2.137669574,0.027975756,1.06139611,4.277711302,5.7352733,0.454293463,0.941475941,0.32081684,0.443796474,6.067650465,0.419588374,0.022186427,0.030953206,0.563963714,0.118999998,2.11687257,0.022421183,0.421126359,4.348803304,1.075660259
training,Resistant,151.7976062,310.3151197,1.038346301,1.135289058,0.416688889,100.3192947,0.992616326,0.973382214,0.028594509,1.072488977,6.127054905,0.020151546,1.070491396,0.30129249,1.055788344,0.11782116,0.311578161,0.06507277,0.020164805,0.024343471,1.072983159,0.423418767,1.064559568,0.028864532,1.040883374,0.073852053,0.035284259,0.911837363,0.136560037,19.36428445,0.509754225,2.046745668,0.020342292,0.025169516,1.037668469,1.071109883,1.058511986,1.286455851,1.072356766,0.540626594,4.501875239,0.55861846,0.911837363,1.070373469,0.077993027,2.046745668,0.03033043,1.06330354,4.168902291,5.620573674,0.453729884,0.945955911,0.32390266,0.447908881,5.962026264,0.421312551,0.024171761,0.033512621,0.557574094,0.124536998,2.075654856,0.023458102,0.428670274,4.267188368,1.073267786
